;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
27028;0ecd4fdce541317b38124967b5c2a259d8f43c91;Method;1;0;;Markovian;The RAM is therefore a relatively compact representation of the game state , and in contrast to the game screen , it is also Markovian .;The Atari 2600 has only bits of random access memory , which must hold the complete internal state of a game : location of game entities , timers , health indicators , etc .;The purpose of our RAM - based agent is to investigate whether features generated from the RAM affect performance differently from features generated from game screens .;RAM - based Feature Generation;42
79855;33a8d0a35390fde736744d4a0dd20dff7961c777;Method;1;1;;dropout technique;In between intermediate layers , we use batch normalization and dropout technique to prevent overfitting along with norm regularization .;Output of layer is then passed to two fully connected layers with again output dimensions and finally connects to a softmax layer for computing class probabilities .;We set depending upon the dataset size ( towards higher for larger dataset ) and for setting hidden dimension .;Experiment and Results;12
52443;207e0ac5301a3c79af862951b70632ed650f74f7;Method;1;1;;deep learning based model;In addition , deep learning based model is also compared .;Note that XQDA can be considered as hybrid between metric learning and subspace learning .;For fair comparison , whenever possible ( i.e. code is available and features can be replaced ) , we compare with these methods using the same LOMO features .;Fully Supervised Learning Results;12
46567;1bc072002d97808340b312b69427baf2dc9fcb8e;Method;1;1;;feature transformation methods;To get our DNNs efficiently work , we propose to leverage three feature transformation methods , i.e. , factorisation machines ( FMs ) , restricted Boltzmann machines ( RBMs ) and;To tackle the issue , we propose two novel models using deep neural networks ( DNNs ) to automatically learn effective patterns from categorical feature interactions and make predictions of users ’ ad clicks .;denoising auto - encoders ( DAEs ) .;Deep Learning over Multi - field Categorical Data;0
102438;42f20d37f4eba56284a941d5f9f58609ee650de0;Method;0;0;;assumed kernel;On the other hand , when the assumed kernel is sharper than the true kernel , high frequency ringing artifacts will appear .;Most of SISR methods actually favor for such case .;;Blur kernel .;5
33378;1109b663453e78a59e4f66446d71720ac58cec25;Method;1;1;;localization approach;Our localization approach won the 2013 ILSVRC competition and significantly outperformed all 2012 and 2013 approaches .;The scheme we propose involves substantial modifications to networks designed for classification , but clearly demonstrate that ConvNets are capable of these more challenging tasks .;The detection model was among the top performers during the competition , and ranks first in post - competition results .;Discussion;15
98917;40eb1e54cb5382dfd3b7efd16dc7df826262ea52;Method;1;1;;box estimation network;The center residual predicted by the box estimation network is combined with the previous center residual from the T - Net and the masked points ’ centroid to recover an absolute center ( Eq .;We take a “ residual ” approach for box center estimation .;[ reference ] ) .;Amodal 3D Box Estimation PointNet;12
104535;4402c6c8445f17f4161e0f64573b7e28df1ca180;Method;1;1;;relu function;Compared with the sigmoidal family , relu function has the advantages of sparsity and efficient gradient , which is possible to gain more benefits on multi - field categorical data .;x ) .;Figure 5 compares these activation functions on FNN , IPNN and OPNN .;1 ) Embedding Layer :;14
17068;0a053f55804eee01f3c8b4138a1d3364d5bc45ac;Method;1;1;;embedding - based models;We compare against RL - based methods , embedding - based models ( including DistMult , ComplEx and ConvE ) and recent work in logical rules ( NeuralLP ) .;We use HITS@1 , 3 and mean reciprocal rank ( MRR ) as the evaluation metrics for WN18RR , and use mean average precision ( MAP ) for NELL995 , where HITS@ computes the percentage of the desired entities being ranked among the top - list , and MRR computes an average of the reciprocal rank of the desired entities .;For all the baseline methods , we used the implementation released by the corresponding authors with their best - reported hyperparameter settings .;Knowledge Base Completion;10
72024;2dad7e558a1e2982d0d42042021f4cde4af04abf;Method;1;0;;dilated models;Also , the dilated models outperform their regular counterparts , Vanilla ( did n’t converge , omitted ) , LSTM and GRU , without increasing the model complexity .;To the best of our knowledge , the dilated GRU with 1.27 BPC achieves the best result among models of similar sizes without layer normalizations .;;Language modeling;17
72901;2e4c06dd00c4c09ad5ac6be883cc66c19d88ea79;Method;1;1;;augmented MBCE loss;In this work , we enforce both inputs to be in the range for simplicity and improved performance , and compute the augmented MBCE loss as follows : where is the standard cross - entropy loss with sigmoid function .;"The motivation behind this design is to maintain flexibility to handle different input formats ; the input is usually binary , but the input can be binary , real - valued , or both .";At inference time , we use the reconstructed output for link prediction and disregard the output .;Link Prediction;3
29656;0fbd17a4f791e04bbf8f240f7c48c178900e30a6;Method;1;1;;smooth loss;We used Focal loss with and smooth loss for classification and bbox regression , respectively .;We optimized subnet with Adam starting from learning rate 1e - 5 and is decreased by a factor of 0.1 in plateaux .;We obtained final proposals using NMS with a threshold of 0.3 .;Person Detection Subnet :;15
7767;051b3763c2ad4e4271db712b0e9a4cfe298d05db;Method;1;1;;f - warp layer;Unlike Spatial Transformer , f - warp layer is not fully constrained and is a relaxed version of it as the flow field is not parameterized .;Our network uses the proposed f - warp layer to displace each channel of the given vector - valued feature according to the provided flow field .;While transformation in FlowNet2 and SPyNet is limited to images , our decider network is a more generic warping network that warps high - level CNN features .;Related Work;2
18807;0a3a003457f5d7758a42a0e4b7278b39a86ed0bd;Method;1;1;;meta - batch strategy;Using our HT meta - batch strategy , hard tasks are sampled every time after running meta - batches , , the failure classes used for sampling hard tasks are from tasks .;The size of meta - batch is set to ( tasks ) due to the memory limit .;"The number of hard task is selected for different settings by validation : and hard tasks respectively for the 1 - shot and 5 - shot experiments on the miniImageNet dataset ; and respectively , and hard tasks for the 1 - shot , 5 - shot and 10 - shot experiments on the FC100 dataset .";Implementation details;17
93702;3d734edc41c13fb4da2c3709e8255b004d083962;Method;1;1;;MULTI - SCALE INFORMATION LEARNING NETWORK STRUCTURE;section : PROPOSED MULTI - SCALE INFORMATION LEARNING NETWORK STRUCTURE;Furthermore , the output of the dilated convolution can keep the same size with its input , so we can fuse these different scale information through concatenation operator easily .;The configuration of our proposed single image SR network structure is outlined in Fig .;PROPOSED MULTI - SCALE INFORMATION LEARNING NETWORK STRUCTURE;3
99486;41232a69c0f8d4b993e6c6e00b16c223442c962f;Method;1;1;;sequence - to - sequence;The dual - attention sequence - to - sequence framework is then proposed to force the generation conditioned on both the source text and the extracted fact descriptions .;To avoid generating fake facts in a summary , we leverage open information extraction and dependency parse technologies to extract actual fact descriptions from the source text .;Experiments on the Gigaword benchmark dataset demonstrate that our model can greatly reduce fake summaries by 80 % .;Faithful to the Original : Fact Aware Neural Abstractive Summarization;0
103516;434bf475addfb580707208618f99c8be0c55cf95;Method;0;0;;sparse feature representation;This helps creating a sparse feature representation .;When initializing the weights uniformly , half of the weights are negative .;Another positive aspect is the relatively cheap computation .;Rectified Linear Unit;6
71595;2d876ed1dd2c58058d7197b734a8e4d349b8f231;Method;0;0;;cuDNN library ’s RNN primitives;It is also important to note that the cuDNN library ’s RNN primitives do not natively support any form of recurrent dropout .;"Note that the softmax , over a vocabulary size of only 10 , 000 words , is relatively small ; for tasks with larger vocabularies , the softmax would likely dominate computation time .";That is , running an LSTM that uses a state - of - the - art regularization scheme at cuDNN - like speeds would likely require an entirely custom kernel .;Language Modeling;6
86649;36c3972569a6949ecca90bfa6f8e99883e092845;Method;1;1;;Detectron models;Second , we choose models trained with different settings , , the tweaked up - down model trained on the VQA dataset with / without data augmentation and models trained with image features extracted from different Detectron models with / without data augmentation .;As can be seen from Fig [ reference ] , the performance plateaus at 70.96 % .;As can be seen , this ensembling strategy is much more effective than the previous one .;Model Ensembling;8
53325;20cc4bfdb648fd7947c71252589fc867d4d16933;Method;1;1;;PC;To qualitatively study the improvement in localization due to PC , we obtain samples from the CUB - 200 - 2011 dataset and visualize the localization regions returned from Grad - CAM for both the baseline and PC - trained VGG - 16 model .;Change in Class - Activation Mapping :;As shown in Figure 3 , PC models provide tighter , more accurate localization around the target object , whereas sometimes the baseline model has localization driven by image artifacts .;Improvement in Localization Ability;15
35823;143a3186c368544ded00a444be33153420baa254;Method;1;1;;pretraining baseline;"The pretraining baseline in the main text trained a single network on all tasks , which we referred to as "" pretraining on all tasks "" .";;To evaluate the model , as with MAML , we fine - tuned this model on each test task using K examples .;C.1 . Multi - task baselines;23
28073;0f0cab9235bbf185acdd4f9713fd111ca50effca;Method;0;0;;LogEig layer;The final LogEig layer endows elements in Riemannian manifold with a Lie Group structure so that matrices can be flattened and standard euclidean operations can be applied .;As discussed earlier , SPD matrices lie on Riemannian manifold .;If be input matrix , be output matrix , the LogEig layer applied in - th layer is defined as where is an eigenvalue decomposition and is an element - wise matrix operation .;Log Eigenvalue Layer ( LogEig );13
15174;0899bb0f3d5425c88b358638bb8556729720c8db;Method;1;1;;pinhole camera model;The pinhole camera model yields the distance estimate with synthetic rendering distance and focal lengths , of the test sensor and synthetic views .;At test time , we compute the ratio between the detected bounding box diagonal and the corresponding codebook diagonal , i.e. at similar orientation .;It follows that with principal points and bounding box centers .;Projective Distance Estimation .;20
47483;1c0e8c3fb143eb5eb5af3026eae7257255fcf814;Method;1;1;;Overfeat - 7;We also compare WSDDN to the SPP - net [ reference ] which uses the Overfeat - 7 [ reference ] with a 4 - level spatial pyramid pooling layer { 6 × 6 , 3 × 3 , 2 × 2 , 1 × 1 } for supervised object detection .;WS - DDN S and M improves 8 and 7 points over VGG - F and VGG - M - 1024 respectively .;While they do not perform fine - tuning , they include a spatial pooling layer .;Classification Results;13
33740;128c727ac06fcc50f1735cb222a441eee6adcab6;Method;0;0;?;linear state - of - the - art models;We further show that previous linear state - of - the - art models , RESCAL , DistMult , ComplEx and SimplE , are all special cases of our model .;As well as being fully expressive , TuckER ’s number of parameters grows linearly with respect to embedding dimension as the number of entities or relations in a knowledge graph increases .;Future work might include exploring various means of softly regularizing the model other than dropout and finding a way to incorporate background knowledge on individual relation properties into the existing model .;Conclusion;19
43136;19839ffab4c30db1556d7fd9275d1344a6e3fa46;Method;1;1;;0.2 dropout;We apply 0.5 dropout to the word embeddings and character CNN outputs and 0.2 dropout to all hidden layers and feature embeddings .;Training Details During training , we use the categorical cross - entropy as objective , with Adam optimizer initial learning rate 0.001 .;In the LSTMs , we employ variational dropout masks that are shared across timesteps , with 0.4 dropout rate .;Hyperparameters;16
63118;27c761258329eddb90b64d52679ff190cb4527b5;Method;1;1;;recurrent convolution networks;This research demonstrates two modified and improved segmentation models , one using recurrent convolution networks , and another using recurrent residual convolutional networks .;Thus , it is important to design efficient DCNN architectures for segmentation tasks which can ensure better performance with less number of network parameters .;To accomplish our goals , the proposed models are evaluated on different modalities of medical imagining as shown in Fig .;I. INTRODUCTION;2
38702;15e07c1344e97e46ade2ee0a57017371fa05fe12;Method;1;1;;Margin - based scoring;subsection : Margin - based scoring;We next describe our scoring method inspired by this idea in Section [ reference ] , and discuss our candidate generation and filtering strategy in Section [ reference ] .;In order to account for the relative scale of cosine similarity and provide a globally consistent measure , our proposed scoring function considers the margin between the cosine of a given candidate and the average cosine of its nearest neighbors in both directions as follows : where denotes the nearest neighbors of in the other language , and analogously for .;Margin - based scoring;5
96752;3febb2bed8865945e7fddc99efd791887bb7e14f;Method;1;1;;top LSTM layer;More specifically , we learn a linear combination of the vectors stacked above each input word for each end task , which markedly improves performance over just using the top LSTM layer .;Unlike previous approaches for learning contextualized word vectors Peters2017SemisupervisedST , McCann2017LearnedIT , ELMo representations are deep , in the sense that they are a function of all of the internal layers of the biLM .;Combining the internal states in this manner allows for very rich word representations .;Introduction;1
103164;43428880d75b3a14257c3ee9bda054e61eb869c0;Method;na;1;;Nvidia M40 GPU;[ reference ] . All models are implemented in Torch [ reference ] and trained on a single Nvidia M40 GPU except for WMT'14 EnglishFrench for which we use a multi - GPU setup on a single machine .;Besides dropout on the embeddings and the decoder output , we also apply dropout to the input of the convolutional blocks;"We train on up to eight GPUs synchronously by maintaining copies of the model on each card and split the batch so that each worker computes 1 / 8 - th of the gradients ; at the end we sum the gradients via Nvidia NCCL .";Model Parameters and Optimization;14
37417;15212fa4d30863ea1f9bd9591eee03848278242d;Method;0;1;;JaTeCS framework;A drawback of JaDCI is thus that , for the researcher wishing to replicate the results of or simply wishing to use JaDCI , a substantive effort in installing and properly configuring the entire JaTeCS framework is thus needed .;JaTeCS is a complex package , since it makes available many functionalities for text analytics research .;In this paper we present PyDCI , a new implementation of the DCI method written in Python and built on top of the SciPy stack and scikit - learn toolkit .;Introduction;1
4396;027f9695189355d18ec6be8e48f3d23ea25db35d;Method;0;0;;GumbelSoftmax;GumbelSoftmax is known to have an advantage over score - functionbased gradient estimators such as REINFORCE [ reference ] which suffer from high variance and slow convergence;Since it approximates one - hot vectors sampled from a categorical distribution by making them continuous , gradients of model parameters can be calculated using the reparameterization trick and the standard backpropagation .;[ reference ] .;Gumbel - Softmax;6
105366;4508f81033c9a7cec785ce4d16f1193920c1b341;Method;1;1;;neural sequence models;Table [ reference ] lists recent results of various neural sequence models on the Wikipedia dataset .;At each step we sample a batch of sequences of 500 characters each , use the first 100 characters as the minimum context and predict the latter 400 characters .;All the results except for the ByteNet result are obtained using some variant of the LSTM recurrent neural network .;Character Prediction;14
1673;01125e3c68edb420b8d884ff53fb38d9fbe4f2b8;Method;1;;;volumetric regression network;[ t ] 1 [ t ] 0.98 [ t ] 1 We train our volumetric regression network using the sigmoid cross entropy loss function : where is the corresponding sigmoid output at voxel of the regressed volume .;The second hourglass is used to refine this output , and has an identical structure to that of the first one .;At test time , and given an input 2D image , the network regresses a 3D volume from which the outer 3D facial mesh is recovered .;Volumetric Regression Networks;7
37113;1518039b5001f1836565215eb047526b3ac7f462;Method;0;;;variable - length encoding of words;The main difference to other compression algorithms , such as Huffman encoding , which have been proposed to produce a variable - length encoding of words for NMT [ reference ] , is that our symbol sequences are still interpretable as subword units , and that the network can generalize to translate and produce new words ( unseen at training time ) on the basis of these subword units .;In practice , we increase efficiency by indexing all pairs , and updating data structures incrementally .;Figure 1 shows a toy example of learned BPE operations .;Byte Pair Encoding ( BPE );6
73713;2e942d19333651bf6012374ea9e78d6937fd33ac;Method;0;;;deformable part models;Besides the boosted cascade methods , several studies apply deformable part models ( DPM ) for face detection .;After that , numerous of works have focused on developing more advanced features and more powerful classifiers .;The DPM methods detect faces by modeling the relationship of deformable facial parts .;Related Work;2
63830;27e4b65121d3c88643d86dc91a9bdafdf223b988;Method;0;;;log - linear extractive summarization model;Since these corpora are too small to train large neural networks on , namas trained their models on the Gigaword corpus , but combined it with an additional log - linear extractive summarization model with handcrafted features , that is trained on the DUC 2003 corpus .;The DUC corpus comes in two parts : the 2003 corpus consisting of 624 document , summary pairs and the 2004 corpus consisting of 500 pairs .;They call the original neural attention model the ABS model , and the combined model ABS + .;DUC Corpus;10
14526;0875fc92cce33df5cf7df169590dbf0ca00d2652;Method;0;;?;dynamic sentence representation;Given the caption representation from the language model , , the operator outputs a dynamic sentence representation at each step through a weighted sum using alignment probabilities : The corresponding alignment probability for the word in the caption is obtained using the caption representation and the current hidden state of the generative model : where , , and are the learned model parameters of the alignment model .;[ reference ] ) , with and initialized to learned biases : The function is used to compute the alignment between the input caption and intermediate image generative steps bahdanau_mt .;The function of Eq .;Image Model : the Conditional DRAW Network;5
34465;12f008bea798a05ebfa2864ec026999cb375bcd9;Method;1;;;information filters;Our model design is backed up by an ablation study showing statistically significant improvements of using Gated Attention as information filters .;Our model achieves the state - of - the - art performance on several large - scale benchmark datasets with more than 4 % improvements over competitive baselines .;We also showed empirically that multiplicative gating is superior to addition and concatenation operations for implementing gated - attentions , though a theoretical justification remains part of future research goals .;Conclusion;15
43993;1a0912bb76777469295bb2c059faee907e7f3258;Method;1;;;deconv layer;The keypoint head consists of a stack of eight 3×3 512 - d conv layers , followed by a deconv layer and 2× bilinear upscaling , producing an output resolution of 56×56 .;We adopt the ResNet - FPN variant , and the keypoint head architecture is similar to that in Figure 4 ( right ) .;We found that a relatively high resolution output ( compared to masks ) is required for keypoint - level localization accuracy .;Mask R - CNN for Human Pose Estimation;11
37382;15212fa4d30863ea1f9bd9591eee03848278242d;Method;1;;;Distributional Correspondence Indexing;This paper introduces PyDCI , a new implementation of Distributional Correspondence Indexing ( DCI ) written in Python .;;DCI is a transfer learning method for cross - domain and cross - lingual text classification for which we had provided an implementation ( here called JaDCI ) built on top of JaTeCS , a Java framework for text classification .;Revisiting Distributional Correspondence Indexing : A Python Reimplementation and New Experiments;0
63076;27c761258329eddb90b64d52679ff190cb4527b5;Method;1;;;pixel - based approach;However , to switch from the patch - based approach to the pixel - based approach that works with the entire image , we must be aware of the class imbalance problem .;In this work , we have evaluated the proposed approaches on both patch - based and entire image - based approaches .;In the case of semantic segmentation , the image backgrounds are assigned a label and the foreground regions are assigned a target class .;I. INTRODUCTION;2
12385;07045f87709d0b7b998794e9fa912c0aba912281;Method;1;;;stochastic gradient descent implementation of Caffe;The input images and their corresponding segmentation maps are used to train the network with the stochastic gradient descent implementation of Caffe .;;Due to the unpadded convolutions , the output image is smaller than the input by a constant border width .;Training;3
58974;23f5854b38a15c2ae201e751311665f7995b5e10;Method;1;;;neural generative model;We propose a neural generative model with multinomial conditional likelihood .;Vaes generalize linear latent - factor models and enable us to explore non - linear probabilistic latent - variable models , powered by neural networks , on large - scale recommendation datasets .;Despite being widely used in language modeling and economics [ reference ][ reference ] , multinomial likelihoods appear less studied in the collaborative filtering literature , particularly within the context of latent - factor models .;INTRODUCTION;2
512;0012de6bec1f25599e4f02517637e531a71909b9;Method;1;;;network predictions;The network predictions , which consist of two volumes having the same resolution as the original input data , are processed through a soft - max layer which outputs the probability of each voxel to belong to foreground and to background .;;In medical volumes such as the ones we are processing in this work , it is not uncommon that the anatomy of interest occupies only a very small region of the scan .;Dice loss layer;3
98871;40eb1e54cb5382dfd3b7efd16dc7df826262ea52;Method;0;;;depth map;Given a 2D image region ( and its corresponding 3D frustum ) , several methods might be used to obtain 3D location of the object : One straightforward solution is to directly regress 3D object locations ( e.g. , by 3D bounding box ) from a depth map using 2D CNNs .;;However , this problem is not easy as occluding objects and background clutter is common in natural scenes ( as in Fig .;3D Instance Segmentation;8
5059;02e85d62fbd8249a046d00ac10e39546511b2a51;Method;0;;;multi - atlas label propagation approach;Both works incorporate morphological and contextual features to better capture the heterogeneity of lesions . also incorporate brain structure segmentation results obtained from a multi - atlas label propagation approach ( ) to provide strong tissue - class priors to the Random Forests .;This framework was adopted in multiple works , with representative pipelines for brain tumors by and TBI by .;additionally use a Markov Random Field ( MRF ) to incorporate spatial regularization .;Related Work;2
49377;1d8653d9fca853a8e3727fa7d8f5ec0631cad08f;Method;1;;;Eigen v3;Eigen v3 was used for the fast sparse tensor operations , using the provided CSC and CSR formats .;We used Torch7 to implement SAM , DAM , NTM , DNC and SDNC .;All benchmarks were run on a Linux desktop running Ubuntu 14.04.1 with 32GiB of RAM and an Intel Xeon E5 - 1650 3.20GHz processor with power scaling disabled .;Benchmarking details;33
42836;18d62040534012818abb90e37eade5dab6dca716;Method;0;;;neural sequence - to - sequence models;We also show that our classifier can be used to improve the performance of neural sequence - to - sequence models for generating questions for reading comprehension .;We construct and release a dataset of 25 , 100 publicly available questions classified into well - formed and non - wellformed categories and report an accuracy of 70.7 % on the test set .;;Identifying Well - formed Natural Language Questions;0
79362;33998aff64ce51df8dee45989cdca4b6b1329ec4;Method;0;;;multi - head attention;[ reference ] . Applying multi - head attention multiplies the storage and parameter requirements by a factor of K , while the individual heads ' computations are fully independent and can be parallelized .;This complexity is on par with the baseline methods such as Graph Convolutional Networks ( GCNs );As opposed to GCNs , our model allows for ( implicitly ) assigning different importances to nodes of a same neighborhood , enabling a leap in model capacity .;COMPARISONS TO RELATED WORK;5
15170;0899bb0f3d5425c88b358638bb8556729720c8db;Method;1;;;ResNet50 backbone;We also train RetinaNet with ResNet50 backbone which is slower but more accurate .;We finetune SSD with VGG16 base using object recordings on black background from different viewpoints which are provided in the training datasets of LineMOD and T - LESS .;Multiple objects are copied in a scene at random orientation , scale and translation .;Training the Object Detector .;19
9761;05ee231749c9ce97f036c71c1d2d599d660a8c81;Method;1;;;MatConvNet;The network is trained using stochastic gradient descend with momentum , implemented in MatConvNet;Training details .;[ reference ] .;Implementation details;8
76498;303fef411f235e6d1125a40af1e93224f498a4d5;Method;0;;;generalization of Ngram language models;However , their focus was to improve the generalization of Ngram language models via a sparse plus low - rank approximation .;In language modeling , hutchinson2011low , hutchinson2012sparse have previously considered the problem from a matrix rank perspective .;By contrast , as neural language models already generalize well , we focus on a high - rank neural language model that improves expressiveness without sacrificing generalization .;Related work;20
40689;16cd50316e41cbb1d9dfeafeb524b31654cef37a;Method;1;;;LSTM - LM setup;subsection : LSTM - LM setup;While the RNN - LM estimates a probability for unknown words , we take a different approach in rescoring : The number of out - of - set words is recorded for each hypothesis and a penalty for them is estimated for them when optimizing the relative weights for all model scores ( acoustic , LM , pronunciation ) , using the SRILM nbest - optimize tool .;After obtaining good results with RNN - LMs we also explored the LSTM recurrent network architecture for language modeling , inspired by recent work showing gains over RNN - LMs for conversational speech recognition .;LSTM - LM setup;11
85161;3652c2d20f198dc39ad159eba55d08341c56d628;Method;1;;;dimensional spatial maps;More precisely , our scheme approximates the kernel map of defined in ( [ reference ] ) at layer by finite - dimensional spatial maps , where is a set of coordinates related to , and is a positive integer controlling the quality of the approximation .;In this section , we show that when the coordinate sets are two - dimensional regular grids , a natural approximation for the multilayer convolutional kernel consists of a sequence of spatial convolutions with learned filters , pointwise non - linearities , and pooling operations , as illustrated in Figure [ reference ] .;Consider indeed two images represented at layer by image feature maps and , respectively .;Training Invariant Convolutional Kernel Networks;12
49862;1e21b925b65303ef0299af65e018ec1e1b9b8d60;Method;0;;;feed - forward methods;While initially style transfer was obtained by a slow optimization process styletransfer , recently , the emphasis was put on feed - forward methods ulyanov16texture , Johnson2016Perceptual .;We do not employ style losses in our method .;There are many links between style transfer and our work : both are unsupervised and generate a sample under constancy given an input sample .;Related work;2
